

lastname, firstname, residentID, programID, name

Clay, Emmanuel, 31941595, IMD, Internal Medicine, 
Combs, Luisa, 77615273, GSU, General Surgery, 
Weaver, Whitley, 50558160, MGG, Medical Genetics and Genomics, 
Morse, Lorelei, 71153864, FMD, Family Medicine, 
Shepard, Bobby, 56751032, MGG, Medical Genetics and Genomics, 
Duncan, Wesson, 96221521, XXX, NOT_MATCHED, 
Bond, Kamiyah, 68802927, FMD, Family Medicine, 
Proctor, Harmoni, 80433227, ANT, Anesthesiology, 
Hensley, Harper, 16771612, XXX, NOT_MATCHED, 
Wallace, Alexis, 15728363, FMD, Family Medicine, 
Wiley, Milani, 40814624, PSY, Psychiatry, 
Johnson, Martha, 38980472, FMD, Family Medicine, 
Roth, Zion, 58871174, FMD, Family Medicine, 
Kirk, Novalee, 79967482, FMD, Family Medicine, 
Brock, Ensley, 18423018, NPA, Neuropathology, 
Moran, Jade, 69588704, FMD, Family Medicine, 
Ball, Langston, 46573446, XXX, NOT_MATCHED, 
Lee, Randy, 71873090, FMD, Family Medicine, 
Lawson, Annabelle, 81119634, XXX, NOT_MATCHED, 
Pace, Erik, 64416117, IMD, Internal Medicine, 
McKay, Hassan, 77735634, XXX, NOT_MATCHED, 
Sherman, Kingsley, 12877735, IMD, Internal Medicine, 
Vaughan, Emmett, 94240205, MGG, Medical Genetics and Genomics, 
Olsen, Kyleigh, 25714871, DRA, Diagnostic Radiology, 
Cordova, Harlem, 22780336, ANT, Anesthesiology, 
Francis, Emelia, 75305110, FMD, Family Medicine, 
Stephens, Ezra, 19726573, FMD, Family Medicine, 
York, Eden, 12095274, IMD, Internal Medicine, 
Ruiz, Hadlee, 10074291, FMD, Family Medicine, 
Yang, Leyla, 90438956, XXX, NOT_MATCHED, 
Kaur, Gregory, 34081009, FMD, Family Medicine, 
Kirk, Lawson, 68836318, FMD, Family Medicine, 
Dawson, Elliana, 46631581, PSU, Plastic Surgery, 
Bruce, Hugh, 78599581, FMD, Family Medicine, 
Pruitt, Ameer, 73502146, NRO, Neurology, 
Spears, Kenna, 15108587, IMD, Internal Medicine, 
Santiago, Griffin, 54010918, FMD, Family Medicine, 
Christian, Eliana, 96838104, XXX, NOT_MATCHED, 
Mann, Brock, 74066600, XXX, NOT_MATCHED, 
Mills, Benjamin, 30376920, XXX, NOT_MATCHED, 
Coffey, Zander, 43926881, FMD, Family Medicine, 
Eaton, Anne, 47589603, FMD, Family Medicine, 
Leal, Allie, 77794731, XXX, NOT_MATCHED, 
Acosta, Elsie, 10947290, EMD, Emergency Medicine, 
Barry, Sloan, 57655365, IMD, Internal Medicine, 
Chen, Gary, 15748562, FMD, Family Medicine, 
Keller, Heaven, 84734118, FMD, Family Medicine, 
Jacobson, Emmy, 64325173, IMD, Internal Medicine, 
Campos, Nova, 18551790, IMD, Internal Medicine, 
Hurley, Jazmin, 24257118, OTO, Otolaryngology - Head and Neck Surgery, 
Schmidt, Charleigh, 42927769, EMD, Emergency Medicine, 
Wu, Opal, 27321066, IMD, Internal Medicine, 
Aguirre, Duncan, 35999916, FMD, Family Medicine, 
Calhoun, Fatima, 93859382, NRS, Neurosurgery, 
Carpenter, Chelsea, 94205774, XXX, NOT_MATCHED, 
Benton, Whitley, 42115420, XXX, NOT_MATCHED, 
Adams, Eve, 66872665, FMD, Family Medicine, 
Anthony, Eden, 81842962, GSU, General Surgery, 
Neal, Queen, 89768460, DMP, Diagnostic and Molecular Pathology, 
Ford, Mauricio, 66677535, PSY, Psychiatry, 
Gonzales, Johanna, 47060168, FMD, Family Medicine, 
O’Donnell, Graham, 50179541, FMD, Family Medicine, 
Villanueva, Zain, 14523615, XXX, NOT_MATCHED, 
Pratt, Orion, 27689949, FMD, Family Medicine, 
Olson, Dorian, 63035355, FMD, Family Medicine, 
Golden, Reese, 97832166, FMD, Family Medicine, 
Acosta, Erik, 61000751, OTO, Otolaryngology - Head and Neck Surgery, 
Sexton, Wade, 75178774, PSY, Psychiatry, 
Wells, Selena, 63225857, XXX, NOT_MATCHED, 
Esparza, Rayan, 42416252, FMD, Family Medicine, 
Vaughan, Nyomi, 85829840, EMD, Emergency Medicine, 
Bradshaw, Lochlan, 41599932, IMD, Internal Medicine, 
Rodgers, Jesus, 39474000, IMD, Internal Medicine, 
Horton, Eithan, 34865530, FMD, Family Medicine, 
Rasmussen, Caiden, 21437932, XXX, NOT_MATCHED, 
Goodman, Rhett, 80430360, FMD, Family Medicine, 
Whitehead, Bridger, 77634977, FMD, Family Medicine, 
Eaton, Ahmir, 67873739, XXX, NOT_MATCHED, 
Robles, Jamari, 31070771, PSY, Psychiatry, 
Valenzuela, Ariya, 17387274, FMD, Family Medicine, 
Weeks, Austin, 16665105, XXX, NOT_MATCHED, 
Thomas, Gianna, 41878378, XXX, NOT_MATCHED, 
Green, Kamryn, 71739031, ORS, Orthopedic Surgery, 
Stevens, Lena, 23649672, OTO, Otolaryngology - Head and Neck Surgery, 
Person, Aya, 95933955, IMD, Internal Medicine, 
Parra, Eleanor, 57547629, ANT, Anesthesiology, 
Macdonald, Jordan, 99853071, FMD, Family Medicine, 
Donaldson, Emmanuel, 78020856, FMD, Family Medicine, 
Drake, Collins, 13049030, FMD, Family Medicine, 
Sutton, Nikolas, 86078018, XXX, NOT_MATCHED, 
Mora, Blaze, 18209688, FMD, Family Medicine, 
Farmer, Noemi, 55248938, OPH, Ophthalmology, 
Rollins, Nadia, 33794152, URO, Urology, 
Beltran, Fatima, 25154188, FMD, Family Medicine, 
Savage, Anna, 31139440, FMD, Family Medicine, 
Washington, Cayden, 19800044, FMD, Family Medicine, 
Zuniga, Lacey, 79043960, XXX, NOT_MATCHED, 
Hodges, Laney, 65022914, IMD, Internal Medicine, 
Blanchard, Anaya, 94583840, PDT, Pediatrics, 
Keith, Angie, 47754941, FMD, Family Medicine, 
Alexander, Bobby, 36673831, FMD, Family Medicine, 
Costa, Liana, 45177419, XXX, NOT_MATCHED, 
Rivers, Kara, 78051343, XXX, NOT_MATCHED, 
Golden, June, 49633483, XXX, NOT_MATCHED, 
Gibson, Melany, 91662724, ANT, Anesthesiology, 
Boyle, Emani, 60194917, URO, Urology, 
Mann, Jeremy, 12859789, FMD, Family Medicine, 
Rivers, Clark, 20363093, FMD, Family Medicine, 
Conner, Carlos, 74379863, XXX, NOT_MATCHED, 
Robertson, Rosie, 28588968, EMD, Emergency Medicine, 
Cardenas, Rodney, 93701122, GSU, General Surgery, 
Gordon, Mccoy, 61738964, FMD, Family Medicine, 
Landry, Milo, 52619624, ORS, Orthopedic Surgery, 
Berg, Lucian, 90381054, DRA, Diagnostic Radiology, 
Beasley, August, 99527761, FMD, Family Medicine, 
Campos, Allen, 72177793, FMD, Family Medicine, 
Erickson, Colette, 93430562, FMD, Family Medicine, 
Bean, Lewis, 39657027, DRA, Diagnostic Radiology, 
Baxter, Hayden, 61507217, XXX, NOT_MATCHED, 
Carpenter, Savannah, 24952767, XXX, NOT_MATCHED, 
Franklin, Sawyer, 44825856, FMD, Family Medicine, 
Mendez, Giselle, 89740078, IMD, Internal Medicine, 
Cortez, Kyra, 17671339, XXX, NOT_MATCHED, 
Tanner, Jamari, 43998009, FMD, Family Medicine, 
Kerr, Jamal, 58767202, XXX, NOT_MATCHED, 
Dyer, Chandler, 25404938, IMD, Internal Medicine, 
Fitzpatrick, Emilia, 94988095, NRO, Neurology, 
Hardin, Sebastian, 99271009, IMD, Internal Medicine, 
Hunt, Aleah, 79568318, XXX, NOT_MATCHED, 
Barajas, Chris, 32475665, DRA, Diagnostic Radiology, 
