

lastname, firstname, residentID, programID, name

Truong, Dahlia, 61638522, PDT, Pediatrics, 
Patrick, Myla, 86518778, GSU, General Surgery, 
White, Cole, 48137171, FMD, Family Medicine, 
Valencia, William, 93166864, FMD, Family Medicine, 
Knox, Mylah, 29031845, EMD, Emergency Medicine, 
McDaniel, Ahmed, 18317065, ORS, Orthopedic Surgery, 
Robertson, Aisha, 11023429, XXX, NOT_MATCHED, 
Klein, Juniper, 53546051, IMD, Internal Medicine, 
Gray, Danny, 86959133, XXX, NOT_MATCHED, 
Duarte, Calum, 10457133, DRA, Diagnostic Radiology, 
Terrell, Presley, 36808969, GSU, General Surgery, 
Robinson, Milena, 47896960, GSU, General Surgery, 
Randall, Emelia, 79942763, XXX, NOT_MATCHED, 
Merritt, Oakleigh, 34561150, XXX, NOT_MATCHED, 
Spears, Noah, 35409915, EMD, Emergency Medicine, 
Curry, Maximilian, 79810083, FMD, Family Medicine, 
Moss, Nalani, 42182166, FMD, Family Medicine, 
Reeves, Melina, 19791879, XXX, NOT_MATCHED, 
Gordon, Stella, 95163743, DMP, Diagnostic and Molecular Pathology, 
Valentine, Bryson, 99894863, XXX, NOT_MATCHED, 
Lopez, Alex, 68554923, XXX, NOT_MATCHED, 
Trejo, Robin, 15813689, FMD, Family Medicine, 
Jensen, Cecelia, 32905734, PSY, Psychiatry, 
Hester, Rebecca, 88544143, FMD, Family Medicine, 
Anderson, Millie, 12509130, FMD, Family Medicine, 
Kim, Paulina, 67036117, ORS, Orthopedic Surgery, 
Bell, Paloma, 69614593, FMD, Family Medicine, 
Chung, Adelaide, 93129178, ANT, Anesthesiology, 
Lin, Amari, 66515004, IMD, Internal Medicine, 
Calderon, Kendrick, 81187282, XXX, NOT_MATCHED, 
Griffin, Ezequiel, 96417095, FMD, Family Medicine, 
Best, Kole, 47057184, XXX, NOT_MATCHED, 
Macias, Lee, 28467685, XXX, NOT_MATCHED, 
Dillon, Christopher, 62069038, FMD, Family Medicine, 
Benson, Kate, 57816849, XXX, NOT_MATCHED, 
Dorsey, Kieran, 43706108, XXX, NOT_MATCHED, 
Hansen, Makenna, 50382549, ANT, Anesthesiology, 
Barry, Bryant, 96827614, GSU, General Surgery, 
Hall, Kamari, 68022839, XXX, NOT_MATCHED, 
Silva, Jamie, 57780495, FMD, Family Medicine, 
Velasquez, Paxton, 10503899, IMD, Internal Medicine, 
Holmes, Rosie, 86295505, FMD, Family Medicine, 
Mitchell, Anika, 13650864, FMD, Family Medicine, 
Banks, Malaya, 72174231, PDT, Pediatrics, 
Summers, Winter, 47933708, FMI, Family Medicine integrated Clinician Scholar, 
Bauer, Amalia, 95398022, FMD, Family Medicine, 
Clarke, Kathryn, 93361158, XXX, NOT_MATCHED, 
Brooks, Emery, 96502061, GSU, General Surgery, 
Freeman, Axl, 47595272, ANT, Anesthesiology, 
Romero, Dylan, 64375531, PSY, Psychiatry, 
Buck, Alfredo, 19424791, FMD, Family Medicine, 
Bowman, Shepard, 95559129, FMD, Family Medicine, 
Koch, Alex, 69596829, IMD, Internal Medicine, 
McCann, Axton, 61463128, IMD, Internal Medicine, 
Fernandez, Crew, 84883361, IMD, Internal Medicine, 
Hanson, Bailey, 48750705, XXX, NOT_MATCHED, 
Nicholson, Yehuda, 43216364, FMD, Family Medicine, 
Blanchard, Jazlyn, 68924794, XXX, NOT_MATCHED, 
Anderson, Mckinley, 20307871, XXX, NOT_MATCHED, 
Solomon, Arjun, 12913088, FMD, Family Medicine, 
Berry, Eli, 87233259, FMD, Family Medicine, 
Cannon, Stephanie, 38088387, FMD, Family Medicine, 
Gonzales, Salem, 40833262, XXX, NOT_MATCHED, 
Pittman, Jamie, 55560258, FMD, Family Medicine, 
Allison, Damian, 30776608, OPH, Ophthalmology, 
Clarke, Kensley, 91283831, NRP, Neurology - Pediatric, 
Daniels, Maxwell, 62124562, XXX, NOT_MATCHED, 
Jones, Mae, 73771233, XXX, NOT_MATCHED, 
Cantu, Florence, 65011328, IMD, Internal Medicine, 
Morton, Darius, 46408411, XXX, NOT_MATCHED, 
Soto, Ayaan, 53961251, DMT, Dermatology, 
Gill, Cal, 76984780, DRA, Diagnostic Radiology, 
Stout, Dangelo, 67664057, VSU, Vascular Surgery, 
Christensen, Kori, 63048504, OBG, Obstetrics and Gynecology, 
Greene, Addison, 23874336, PSY, Psychiatry, 
Pierce, Rachel, 43979876, XXX, NOT_MATCHED, 
Archer, Hallie, 22190439, XXX, NOT_MATCHED, 
Barnett, Khalil, 30567472, FMD, Family Medicine, 
Lugo, Salem, 47754673, DRA, Diagnostic Radiology, 
Faulkner, Finley, 13247570, PSY, Psychiatry, 
Fitzgerald, Emerald, 28743566, DCP, Diagnostic and Clinical Pathology, 
Blanchard, Rory, 89884189, ORS, Orthopedic Surgery, 
Mack, Sonny, 17651944, XXX, NOT_MATCHED, 
Hicks, Gordon, 63814848, FMD, Family Medicine, 
Sims, Hezekiah, 37400782, XXX, NOT_MATCHED, 
Sosa, Brecken, 22180523, XXX, NOT_MATCHED, 
Ayers, Colten, 11020120, PDT, Pediatrics, 
Gonzales, Evan, 25804690, PSY, Psychiatry, 
Bender, Karson, 54677573, FMD, Family Medicine, 
Cochran, Irene, 30746977, OBG, Obstetrics and Gynecology, 
Xiong, Frankie, 93794888, OBG, Obstetrics and Gynecology, 
Drake, Ronan, 59048287, IMD, Internal Medicine, 
Vaughn, Fatima, 26409936, MGG, Medical Genetics and Genomics, 
Reese, Cullen, 81522437, FMD, Family Medicine, 
Hutchinson, Brayan, 89535478, FMD, Family Medicine, 
Flynn, Rocco, 13404480, ORS, Orthopedic Surgery, 
Collins, Kelly, 50797663, OBG, Obstetrics and Gynecology, 
Barajas, Johnny, 51418467, PSY, Psychiatry, 
Williamson, Elliott, 95645000, XXX, NOT_MATCHED, 
Alvarado, Osiris, 47424969, FMD, Family Medicine, 
Green, Christina, 44925255, XXX, NOT_MATCHED, 
Wilkins, Yaretzi, 88059056, XXX, NOT_MATCHED, 
Miranda, Skylar, 41379379, ORS, Orthopedic Surgery, 
Rivas, Rafael, 15403895, FMD, Family Medicine, 
Middleton, Asher, 38325592, XXX, NOT_MATCHED, 
Sullivan, Jazmine, 70491875, FMD, Family Medicine, 
Abbott, Aitana, 87010782, FMD, Family Medicine, 
Mora, Jovie, 40640198, XXX, NOT_MATCHED, 
Proctor, Samira, 84160374, XXX, NOT_MATCHED, 
Mayer, Kaison, 33090704, PDT, Pediatrics, 
Compton, Ainsley, 96859317, XXX, NOT_MATCHED, 
Andrade, Myla, 62244114, XXX, NOT_MATCHED, 
Hanson, William, 24274384, XXX, NOT_MATCHED, 
Knapp, Jade, 83021758, PHF, Public Health and Preventive Family Medicine, 
Sellers, Jasmine, 35541153, VSU, Vascular Surgery, 
Henderson, Ambrose, 72913099, PSY, Psychiatry, 
McBride, Serena, 64868419, XXX, NOT_MATCHED, 
Phan, Leilani, 47419005, FMD, Family Medicine, 
Small, Cairo, 52330406, IMD, Internal Medicine, 
Le, Poppy, 40557085, IMD, Internal Medicine, 
Suarez, Mia, 71374842, FMD, Family Medicine, 
Mack, Corbin, 84955993, IMD, Internal Medicine, 
Lara, Vera, 40372980, FMD, Family Medicine, 
Stone, Maggie, 78888271, FMD, Family Medicine, 
Warner, Jasmine, 61054254, IMD, Internal Medicine, 
Elliott, Alani, 62178624, XXX, NOT_MATCHED, 
Nelson, Shay, 86339463, FMD, Family Medicine, 
Holloway, Belle, 32914607, IMD, Internal Medicine, 
Arias, Reese, 87110352, FMD, Family Medicine, 
Espinoza, Avery, 64015227, XXX, NOT_MATCHED, 
Robinson, Madelynn, 68413430, PSY, Psychiatry, 
Ballard, Brayan, 49571214, PDT, Pediatrics, 
Kelley, Isabelle, 17756471, OBG, Obstetrics and Gynecology, 
Church, Nico, 41737460, FMD, Family Medicine, 
Schultz, Carly, 34684964, FMD, Family Medicine, 
Cameron, Giselle, 79691267, OBG, Obstetrics and Gynecology, 
Peralta, Saige, 95833664, IMD, Internal Medicine, 
Grimes, Noelle, 45173840, IMD, Internal Medicine, 
Johns, Deandre, 52761745, NRS, Neurosurgery, 
Walter, Harold, 13872193, DMP, Diagnostic and Molecular Pathology, 
Campos, Cason, 34070881, PDT, Pediatrics, 
Hall, Abdiel, 47891240, FMD, Family Medicine, 
Benitez, Paloma, 61393756, XXX, NOT_MATCHED, 
Dudley, Vincent, 47039314, ANT, Anesthesiology, 
Nicholson, Eden, 85153116, FMD, Family Medicine, 
Abbott, Davion, 98635409, FMD, Family Medicine, 
Santos, Stella, 35264636, FMD, Family Medicine, 
Alfaro, Niko, 79285518, FMD, Family Medicine, 
Robertson, Elaine, 35057902, FMD, Family Medicine, 
Whitehead, Whitley, 43701278, FMD, Family Medicine, 
Heath, Sonny, 53251019, XXX, NOT_MATCHED, 
Cherry, Annabella, 45722349, PSY, Psychiatry, 
Farrell, Gwen, 76777196, DRA, Diagnostic Radiology, 
Stuart, Liberty, 90496691, FMD, Family Medicine, 
Allen, Nevaeh, 52253306, XXX, NOT_MATCHED, 
Walsh, Amari, 48447011, DMP, Diagnostic and Molecular Pathology, 
Abbott, Jamari, 49529121, ANT, Anesthesiology, 
Berger, Jericho, 46757606, FMD, Family Medicine, 
Mendoza, Patrick, 79320000, IMD, Internal Medicine, 
Wells, Trinity, 95831365, FMD, Family Medicine, 
Rivers, Colby, 85392114, FMD, Family Medicine, 
Gibson, Joanna, 79747841, FMD, Family Medicine, 
Barrett, Abner, 94858542, IMD, Internal Medicine, 
Welch, Ace, 74176814, XXX, NOT_MATCHED, 
Hubbard, Shiloh, 39210078, FMD, Family Medicine, 
Lugo, Scout, 22202457, CSU, Cardiac Surgery, 
Stephens, Aarav, 79503254, FMD, Family Medicine, 
Sims, Keegan, 89846587, FMD, Family Medicine, 
Burns, Marlon, 72556432, FMD, Family Medicine, 
Jackson, Hudson, 62164164, XXX, NOT_MATCHED, 
Fischer, Celeste, 67915399, PDT, Pediatrics, 
Miles, Bentley, 81274191, FMD, Family Medicine, 
Fitzpatrick, Brayden, 21242686, EMD, Emergency Medicine, 
Maxwell, Cesar, 71569810, FMD, Family Medicine, 
McConnell, Collins, 31592375, IMD, Internal Medicine, 
