

lastname, firstname, residentID, programID, name

Williams, Salvatore, 574, NRS, Neurosurgery, 
Frederick, Rosalie, 517, NRS, Neurosurgery, 
Paquet, Camille, 913, HEP, Hematological Pathology, 
Olson, Aspyn, 403, HEP, Hematological Pathology, 
Jarvis, Zev, 226, MMI, Microbiology, 
Medrano, Indie, 126, NRS, Neurosurgery, 
Tremmo, Emma, 828, OBG, Obstetrics and Gynecology, 
Clown, Marie, 773, OBG, Obstetrics and Gynecology, 
Robert, Laurent, 616, OBG, Obstetrics and Gynecology, 
Tan, Tom, 377, XXX, NOT_MATCHED, 

Numer of unmatched residents: 1

Numer of positions available: 1


Execution Time: 135.758µs
